Time,Activity,Interruption,Changed_Activity,AC_status,AC_Setting,TV_status,Light_status,After_Interruption_AC_status,After_Interruption_AC_Setting,After_Interruption_TV_status,After_Interruption_TV_Setting,After_Interruption_Light_status,After_Interruption_Light_Setting
2025-09-02 00:00:00,watch_media,,,On,22,Off,Off,,,,,,
2025-09-02 00:30:00,do_laundry,,,On,22,Off,Off,,,,,,
2025-09-02 01:00:00,drink,Weather Alert,drink,On,22,Off,Off,On,22.0,Off,0.0,Off,0.0
2025-09-02 01:30:00,pay_bills,,,On,22,Off,Off,,,,,,
2025-09-02 02:00:00,prepare_for_bed,,,On,21,Off,On,,,,,,
2025-09-02 02:30:00,shop_online,,,On,21,Off,On,,,,,,
2025-09-02 03:00:00,group_project,,,On,21,Off,On,,,,,,
2025-09-02 03:30:00,meditate,,,On,21,Off,On,,,,,,
2025-09-02 04:00:00,drink,,,On,21,Off,On,,,,,,
2025-09-02 04:30:00,cook,,,On,24,Off,On,,,,,,
2025-09-02 05:00:00,shower,,,Off,24,Off,On,,,,,,
2025-09-02 05:30:00,brush_teeth,,,Off,24,Off,On,,,,,,
2025-09-02 06:00:00,prepare_for_bed,,,On,21,Off,On,,,,,,
2025-09-02 06:30:00,wake_up,,,On,23,Off,On,,,,,,
2025-09-02 07:00:00,sleep,,,On,20,Off,On,,,,,,
2025-09-02 07:30:00,sleep,,,On,21,Off,On,,,,,,
2025-09-02 08:00:00,watch_media,,,On,24,On,On,,,,,,
2025-09-02 08:30:00,group_project,,,On,24,On,On,,,,,,
2025-09-02 09:00:00,study,,,On,24,On,On,,,,,,
2025-09-02 09:30:00,attend_online_class,,,On,24,On,On,,,,,,
2025-09-02 10:00:00,exercise,Appliance Malfunction,other,On,20,On,On,On,22.0,Off,45.0,On,100.0
2025-09-02 10:30:00,eat_breakfast,,,On,22,Off,On,,,,,,
2025-09-02 11:00:00,charge_devices,,,On,22,Off,On,,,,,,
2025-09-02 11:30:00,study,,,On,25,Off,On,,,,,,
2025-09-02 12:00:00,eat_takeout,,,On,25,Off,On,,,,,,
2025-09-02 12:30:00,listen_music,,,On,25,Off,On,,,,,,
2025-09-02 13:00:00,study,,,On,23,Off,On,,,,,,
2025-09-02 13:30:00,game,,,On,21,On,On,,,,,,
2025-09-02 14:00:00,exercise,,,On,19,On,On,,,,,,
2025-09-02 14:30:00,eat_takeout,,,On,19,On,On,,,,,,
2025-09-02 15:00:00,set_alarms,,,On,19,On,On,,,,,,
2025-09-02 15:30:00,journal,,,On,19,On,On,,,,,,
2025-09-02 16:00:00,game,,,On,22,On,On,,,,,,
2025-09-02 16:30:00,study,,,On,23,On,On,,,,,,
