
Context,study,attend_class,socialize,watch_media,game,exercise,sleep,eat,clean,communicate,browse_social_media,shop_online,meditate,read,get_dressed,brush_teeth,cook,do_laundry,attend_online_class,group_project,organize,pay_bills,grocery_shop,take_out_trash,set_alarms,charge_devices,journal,prepare_for_bed,other
hard_college_day,0.25,0.15,0.03,0.04,0.03,0.04,0.08,0.05,0.02,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
deadline_tomorrow,0.40,0.10,0.02,0.02,0.01,0.02,0.10,0.04,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.05,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
girlfriend_fight,0.10,0.10,0.05,0.12,0.08,0.05,0.08,0.05,0.02,0.12,0.05,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
family_problem,0.12,0.10,0.05,0.08,0.05,0.05,0.12,0.05,0.02,0.15,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
easy_day,0.08,0.08,0.12,0.10,0.08,0.08,0.08,0.05,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
relaxing_day,0.04,0.02,0.15,0.15,0.12,0.05,0.08,0.05,0.02,0.05,0.05,0.01,0.02,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
road_trip_tomorrow,0.08,0.05,0.08,0.08,0.04,0.04,0.15,0.05,0.08,0.05,0.02,0.04,0.01,0.01,0.03,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.02
party_tomorrow,0.08,0.08,0.15,0.08,0.04,0.04,0.12,0.05,0.04,0.05,0.03,0.02,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
home_party_tonight,0.04,0.04,0.25,0.08,0.04,0.02,0.04,0.12,0.08,0.05,0.02,0.01,0.01,0.01,0.03,0.02,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
friend_party_tonight,0.04,0.04,0.30,0.04,0.02,0.02,0.04,0.12,0.02,0.08,0.03,0.01,0.01,0.01,0.05,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03
high_stress,0.25,0.12,0.04,0.08,0.04,0.04,0.08,0.05,0.02,0.03,0.02,0.01,0.03,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
job_stress,0.15,0.08,0.04,0.08,0.04,0.04,0.12,0.05,0.02,0.08,0.02,0.01,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.04
academic_stress,0.30,0.15,0.02,0.04,0.02,0.03,0.08,0.05,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
exam_week,0.35,0.15,0.01,0.03,0.01,0.02,0.08,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.08,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
project_due_soon,0.35,0.12,0.02,0.04,0.02,0.02,0.08,0.05,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
financial_stress,0.15,0.12,0.04,0.08,0.04,0.04,0.12,0.04,0.02,0.04,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.03
roommate_conflict,0.12,0.08,0.04,0.12,0.08,0.04,0.12,0.05,0.02,0.08,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02
homesick,0.12,0.08,0.08,0.12,0.04,0.04,0.12,0.05,0.02,0.08,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02
first_day_semester,0.08,0.30,0.12,0.04,0.02,0.04,0.04,0.05,0.02,0.04,0.01,0.01,0.01,0.01,0.04,0.03,0.02,0.01,0.05,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
last_day_semester,0.04,0.15,0.25,0.08,0.04,0.04,0.04,0.05,0.02,0.04,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
